257	98	155	382
259	94	157	383
259	93	159	384
260	94	157	383
260	93	159	383
261	94	160	383
261	94	159	383
261	94	160	384
262	94	159	384
262	94	159	383
261	94	157	383
263	95	158	382
263	93	157	383
264	94	158	382
263	94	158	382
264	93	157	383
264	94	157	384
264	94	157	383
265	93	157	383
264	93	158	384
265	93	158	383
265	93	159	383
266	94	158	382
266	92	158	384
265	93	158	383
266	92	158	383
264	93	159	383
266	93	158	383
266	92	158	384
266	92	158	384
266	92	158	384
265	91	158	385
265	91	158	384
264	91	160	386
264	93	160	384
262	90	161	388
261	93	161	385
260	94	160	384
258	93	159	383
256	95	158	382
255	95	156	382
254	96	154	380
254	97	150	380
252	97	147	379
248	97	144	380
245	99	142	377
242	99	140	379
240	100	139	377
238	101	140	377
236	101	139	375
239	103	133	374
242	105	127	374
247	105	121	373
250	106	116	372
250	108	116	370
251	109	120	368
251	109	127	369
248	109	134	369
247	110	142	366
247	110	148	366
244	111	155	366
243	112	157	364
241	112	163	366
241	112	162	364
241	112	162	363
242	113	161	363
242	113	159	363
242	114	157	364
245	116	155	363
246	116	151	363
249	117	148	359
250	118	148	358
253	117	145	359
252	118	144	359
255	120	144	357
257	121	141	356
257	123	140	354
260	124	141	352
261	125	139	351
263	127	139	348
264	128	139	347
266	130	139	346
269	132	138	345
271	133	137	343
272	133	135	343
275	134	134	344
276	134	132	341
278	136	130	341
278	136	131	341
279	138	130	340
281	138	129	339
284	139	127	338
286	139	125	339
287	140	124	338
288	140	125	338
289	143	121	335
288	143	122	334
288	144	123	332
286	147	123	330
288	148	120	329
285	150	120	327
287	151	118	326
287	152	118	327
285	153	119	325
285	152	118	325
284	152	119	324
284	152	118	324
283	152	120	325
281	153	115	325
281	154	120	324
282	155	112	324
282	156	112	321
281	156	112	321
280	157	110	320
281	159	110	320
281	159	109	319
280	162	109	317
281	162	107	316
284	164	103	314
284	165	103	314
284	167	102	310
285	167	99	311
287	168	98	309
287	168	97	308
287	168	98	310
288	168	97	310
288	169	97	307
287	169	97	306
288	170	96	304
289	171	95	303
289	172	94	300
288	173	94	300
288	173	95	299
290	174	92	299
290	175	92	296
289	175	91	296
289	177	90	293
291	178	90	291
290	179	90	289
290	181	89	289
290	181	87	286
290	181	86	283
289	180	85	277
289	181	85	271
289	181	85	266
289	181	84	265
290	181	82	264
290	182	81	262
289	182	80	258
291	184	79	257
291	184	78	256
293	186	76	256
294	187	74	254
296	188	72	253
299	190	70	250
301	191	65	248
304	191	59	247
306	192	56	246
308	193	54	243
311	193	53	240
315	192	51	234
316	192	46	231
316	192	46	228
319	192	40	229
321	195	34	225
325	195	30	222
330	195	21	229
336	195	18	226
339	192	17	237
337	195	18	230
333	193	26	231
323	191	36	237
321	190	40	233
323	192	46	209
326	197	35	206
328	193	40	199
334	193	32	194
343	193	26	199
304	204	68	180
290	196	47	177
292	188	45	206
292	189	52	206
292	192	52	204
291	192	59	216
286	194	64	214
298	199	56	199
311	202	49	202
324	205	63	192
321	205	60	217
321	206	81	198
319	206	61	209
315	208	79	201
313	208	43	181
312	208	45	179
309	208	45	180
306	207	49	181
304	207	52	180
303	207	54	180
301	208	56	179
300	209	57	177
299	209	58	176
299	209	58	176
299	209	59	176
299	210	59	175
299	211	59	174
299	212	59	174
299	213	59	173
299	212	59	172
299	213	58	171
299	212	57	171
300	213	56	169
299	212	55	166
298	213	55	163
299	212	55	163
299	212	54	162
299	213	55	162
299	213	54	162
299	213	54	163
300	213	53	163
301	212	53	164
301	213	52	162
302	215	52	160
303	215	51	159
304	217	51	158
305	217	51	157
306	216	51	157
